"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 05 15:30:21 CST 2021","Fri Mar 05 15:30:22 CST 2021","121","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 15:30:20 CST 2021","Fri Mar 05 15:30:20 CST 2021","255","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 19:27:25 CST 2021","Fri Mar 05 19:27:25 CST 2021","130","test_case","test_cases","TestCase","","","allure报告标题",""
"passed","Fri Mar 05 19:27:26 CST 2021","Fri Mar 05 19:27:26 CST 2021","112","test_case","test_cases","TestCase","","","allure报告标题",""
"passed","Fri Mar 05 15:30:02 CST 2021","Fri Mar 05 15:30:02 CST 2021","123","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 19:27:13 CST 2021","Fri Mar 05 19:27:13 CST 2021","124","test_case","test_cases","TestCase","","","allure报告标题",""
"failed","Fri Mar 05 19:27:26 CST 2021","Fri Mar 05 19:27:26 CST 2021","114","test_case","test_cases","TestCase","","","allure报告标题",""
"passed","Fri Mar 05 15:30:21 CST 2021","Fri Mar 05 15:30:21 CST 2021","147","test_case","test_cases","TestCase","","","title",""
"failed","Fri Mar 05 15:30:22 CST 2021","Fri Mar 05 15:30:22 CST 2021","222","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 15:30:15 CST 2021","Fri Mar 05 15:30:15 CST 2021","118","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 15:30:22 CST 2021","Fri Mar 05 15:30:23 CST 2021","118","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 15:30:19 CST 2021","Fri Mar 05 15:30:19 CST 2021","144","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 15:30:20 CST 2021","Fri Mar 05 15:30:21 CST 2021","173","test_case","test_cases","TestCase","","","title",""
"passed","Fri Mar 05 19:27:25 CST 2021","Fri Mar 05 19:27:25 CST 2021","120","test_case","test_cases","TestCase","","","allure报告标题",""
"failed","Fri Mar 05 15:30:19 CST 2021","Fri Mar 05 15:30:19 CST 2021","144","test_case","test_cases","TestCase","","","title",""
